City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
73,Sobolevo,54.4299,31.8996,60.8,77,45,0.91,RU,1627101813
74,Macheng,31.1783,115.0319,91.14800000000002,54,7,4.84,CN,1627101601
75,Kieta,-6.2167,155.6333,84.16400000000003,71,79,1.92,PG,1627101814
76,Urubichá,-15.3833,-62.95,67.71200000000006,56,0,0.37,BO,1627101814
77,Mana,5.6592,-53.7767,75.57800000000006,92,65,3.73,GF,1627101815
78,Bethel,41.3712,-73.414,67.49600000000005,86,1,0.0,US,1627101815
79,Guerrero Negro,27.9769,-114.0611,69.78200000000001,84,81,6.26,MX,1627101816
80,Carnarvon,-24.8667,113.6333,69.87200000000004,44,74,7.2,AU,1627101664
81,Auki,-8.7676,160.7034,84.61400000000003,69,37,0.13,SB,1627101816
82,Byron Bay,-28.65,153.6167,73.50800000000001,48,0,5.34,AU,1627101366
83,Hamilton,39.1834,-84.5333,72.37400000000001,85,1,1.54,US,1627101605
84,Chennai,13.0878,80.2785,89.58200000000002,58,20,5.14,IN,1627101592
85,Lebu,-37.6167,-73.65,48.34400000000007,82,100,3.06,CL,1627101817
86,Port Blair,11.6667,92.75,83.10200000000007,81,100,9.05,IN,1627101818
87,Cidreira,-30.1811,-50.2056,59.702000000000076,79,0,1.6,BR,1627101818
88,Nanortalik,60.1432,-45.2371,42.314000000000036,91,73,4.65,GL,1627101429
89,Verkhnevilyuysk,63.4453,120.3167,80.15,34,60,3.07,RU,1627101818
90,Nelson Bay,-32.7167,152.15,64.99400000000007,51,13,2.24,AU,1627101819
91,Atuona,-9.8,-139.0333,77.28800000000004,79,56,5.21,PF,1627101245
92,Busselton,-33.65,115.3333,60.044000000000075,66,98,6.5,AU,1627101248
93,Juneau,58.3019,-134.4197,57.2,95,90,0.45,US,1627101717
94,Tigre,-34.426,-58.5796,63.23000000000004,80,0,0.0,AR,1627101820
95,Meulaboh,4.1363,96.1285,85.19000000000003,66,96,1.33,ID,1627101798
96,Chui,-33.6971,-53.4616,57.57800000000007,91,8,2.72,UY,1627101820
97,Codrington,-38.2667,141.9667,52.12400000000001,76,31,7.28,AU,1627101820
98,Araouane,18.9048,-3.5265,86.66600000000001,44,66,2.49,ML,1627101821
99,Khatanga,71.9667,102.5,62.36600000000001,45,99,4.64,RU,1627101821
100,Okhotsk,59.3833,143.3,62.45600000000003,77,64,4.78,RU,1627101765
101,Kamloops,50.6665,-120.3192,76.19000000000003,29,75,3.6,CA,1627101541
102,Bluff,-46.6,168.3333,49.55,76,74,2.36,NZ,1627101432
103,Severo-Kuril'sk,50.6789,156.125,57.38000000000004,91,84,2.82,RU,1627101441
104,Bambous Virieux,-20.3428,57.7575,72.21200000000006,94,75,3.09,MU,1627101247
105,Ayorou,14.7308,0.9174,83.08399999999999,62,98,5.37,NE,1627101822
106,Bayir,37.2687,28.2167,73.92200000000004,45,0,2.15,TR,1627101823
107,Alyangula,-13.8483,136.4192,84.07400000000001,61,8,4.12,AU,1627101823
108,Mahébourg,-20.4081,57.7,72.24800000000002,94,75,3.09,MU,1627101428
109,Newbridge,55.9333,-3.4,58.85600000000003,98,90,1.03,GB,1627101823
110,Poronaysk,49.2167,143.1167,69.72800000000007,89,89,3.92,RU,1627101824
111,Leningradskiy,69.3833,178.4167,39.32600000000009,83,100,2.26,RU,1627101824
112,Souillac,-20.5167,57.5167,73.36400000000003,94,75,3.09,MU,1627101825
113,Chaiyaphum,15.75,102.0,74.04800000000003,94,100,9.48,TH,1627101825
114,Harper,4.375,-7.7169,75.34400000000008,74,100,2.88,LR,1627101537
115,Yulara,-25.2406,130.9889,66.03800000000004,27,72,4.63,AU,1627101825
116,Nadvoitsy,63.8667,34.3167,51.944000000000074,54,100,4.31,RU,1627101826
117,Sawtell,-30.3833,153.1,73.41800000000009,37,4,5.66,AU,1627101826
118,San Ramon,37.7799,-121.978,71.22200000000004,68,1,4.63,US,1627101740
119,Kruisfontein,-34.0033,24.7314,40.622000000000035,77,1,3.01,ZA,1627101426
